Таска,Files & media,GEO,Id,Post,Text,link,Баєр,Дата взяття в роботу,Дата видачі,Дата створення,Дизайнер,К-сть,Креатив,Мова,Пріорітет,Розмір,Статус таски,Тип креатива:
емоції ж,Design%20Room/2777606078_MRmr70ch_(3).mp4,MR (Мавританія),TS-163,"ID: TS-163
Buyer: @Yak08lev
Task: https://www.notion.so/35523fd746b68015a45de8a51b64e8e0?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link",,https://www.notion.so/35523fd746b68015a45de8a51b64e8e0?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link,@Yak08lev,,06/05/2026,"May 3, 2026 5:53 PM",@omotiongg(Влад),1,Відео,"Арабська ",Medium,Reels(9:16),Виконано,з нуля
зевс слот,,MR (Мавританія),TS-164,"ID: TS-164
Buyer: @Yak08lev
Task: https://www.notion.so/35523fd746b680008728dc3ca4f64bf9?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link",,https://www.notion.so/35523fd746b680008728dc3ca4f64bf9?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link,@Yak08lev,,07/05/2026,"May 3, 2026 9:36 PM",@dmitriy_designer_gamble(Діма),1,Відео,Арабська,Medium,Квадрат(1:1),Виконано,з нуля
зевс колесо,Design%20Room/kreo_1.3.mp4,MR (Мавританія),TS-165,"ID: TS-165
Buyer: @Yak08lev
Task: https://www.notion.so/35523fd746b680658495c1300d302b93?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link",,https://www.notion.so/35523fd746b680658495c1300d302b93?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link,@Yak08lev,,07/05/2026,"May 3, 2026 9:36 PM",@dmitriy_designer_gamble(Діма),1,Відео,Арабська,Medium,Квадрат(1:1),Виконано,з нуля
авіатор,,MR (Мавританія),TS-166,"ID: TS-166
Buyer: @Yak08lev
Task: https://www.notion.so/35523fd746b680408355ce8908fb74d4?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link",,https://www.notion.so/35523fd746b680408355ce8908fb74d4?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link,@Yak08lev,,07/05/2026,"May 3, 2026 9:37 PM",@Sanchouzini(Саша З.),2,Відео,Арабська,Medium,"Reels(9:16), Квадрат(1:1)",Виконано,з нуля
тавер раш,,MR (Мавританія),TS-167,"ID: TS-167
Buyer: @Yak08lev
Task:",,,@Yak08lev,08/05/2026,08/05/2026,"May 3, 2026 9:38 PM",@Sanchouzini(Саша З.),1,Відео,Арабська,Medium,Reels(9:16),Виконано,з нуля
плінко,,MR (Мавританія),TS-168,"ID: TS-168
Buyer: @Yak08lev
Task: https://www.notion.so/35523fd746b680908daae1dcb12f1506?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link",,https://www.notion.so/35523fd746b680908daae1dcb12f1506?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link,@Yak08lev,,07/05/2026,"May 3, 2026 9:38 PM",@omotiongg(Влад),1,Відео,Арабська,Medium,Reels(9:16),Виконано,з нуля
Chicken Road PY,Design%20Room/2671360046_UY_v4uy4ch.mp4,PY (Парагвай),TS-170,"ID: TS-170
Buyer: @SBabchuk
Task: https://www.notion.so/Chicken-Road-PY-35723fd746b680368744c2bfb28c56ec?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link",,https://www.notion.so/Chicken-Road-PY-35723fd746b680368744c2bfb28c56ec?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link,@SBabchuk,,07/05/2026,"May 5, 2026 11:31 AM",@Vitarillio_diz(Віталік),1,Відео,Іспанська,Medium,-,Виконано,Адаптація
Chicken Road PY,"Design%20Room/uy7ch.mp4, Design%20Room/uy6ch.mp4",PY (Парагвай),TS-171,"ID: TS-171
Buyer: @SBabchuk
Task: https://www.notion.so/Chicken-Road-PY-35723fd746b68088b8fcdfc37bed9dae?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link",,https://www.notion.so/Chicken-Road-PY-35723fd746b68088b8fcdfc37bed9dae?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link,@SBabchuk,,07/05/2026,"May 5, 2026 11:37 AM",@Vitarillio_diz(Віталік),1,Відео,Іспанська,Medium,-,Виконано,Адаптація
Chicken Road SY,Design%20Room/sy13ch.mp4,SY(Сирія),TS-172,"ID: TS-172
Buyer: @SBabchuk
Task: https://www.notion.so/Chicken-Road-SY-35723fd746b680c6861cd9087cb5a3c5?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link",,https://www.notion.so/Chicken-Road-SY-35723fd746b680c6861cd9087cb5a3c5?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link,@SBabchuk,08/05/2026,08/05/2026,"May 5, 2026 11:43 AM",@Vitarillio_diz(Віталік),1,Відео,Арабска,Medium,Reels(9:16),Виконано,Адаптація
"аналог ",Design%20Room/2653233584_MN_v3.mp4,mn,TS-173,"ID: TS-173
Buyer: @Trocenkooo
Task: https://www.notion.so/35723fd746b680569d9cf2edd77a652f?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link","привет , нужно сделать такого плана 3 креатива , заменить эмоции , и сделать 3 варианта в оттенках флага Монголии ",https://www.notion.so/35723fd746b680569d9cf2edd77a652f?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link,@Trocenkooo,,07/05/2026,"May 5, 2026 12:18 PM",@dmitriy_designer_gamble(Діма),3,Відео,,Medium,Портрет(3:4),Виконано,Адаптація
аналог,Design%20Room/mnv16.mp4,mn,TS-174,"ID: TS-174
Buyer: @Trocenkooo
Task: https://www.notion.so/35723fd746b680b7ba63d58e0f156c7f?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link","привет , нужно сделать такого плана креатив на Монголию , 3 варианта в таком цветовом оформлении , с разными эмоциями и на 1 вариант добавить музыку ",https://www.notion.so/35723fd746b680b7ba63d58e0f156c7f?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link,@Trocenkooo,,07/05/2026,"May 5, 2026 12:20 PM",@Sanchouzini(Саша З.),3,Відео,,Medium,Портрет(3:4),Виконано,Адаптація
"аналог ",Design%20Room/2604790006_ARAB_v4%203.mp4,SY(Сирія),TS-175,"ID: TS-175
Buyer: @Trocenkooo
Task: https://www.notion.so/35723fd746b680babd79e4e00d59f835?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link","привет , нужно такого плана сделать креатив на сирию , на видео добавить флаг сирии , и добавить в конце платежку Sham Cash USD 
текст в конце : بلش اربح واسحب أرباحك فوراً. الفرصة ما بتستنى.. دوس الآن! 
добавьте что бы когда курица стает на множитель , вылетала валюта. (доллары ) в баланс , сумма должна увеличиваться в соответствии с множителем и суммой ставки ",https://www.notion.so/35723fd746b680babd79e4e00d59f835?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link,@Trocenkooo,08/05/2026,08/05/2026,"May 5, 2026 12:24 PM",@omotiongg(Влад),4,Відео,ar,Medium,Портрет(3:4),Виконано,Адаптація
"адаптація ",Design%20Room/TS-97_IT_v3.mp4,"BE (Бельгія), UK (Великобританія)",TS-176,"ID: TS-176
Buyer: @eduard_osypenko
Task: https://www.notion.so/35723fd746b680b8bc1fd42664541057?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link",,https://www.notion.so/35723fd746b680b8bc1fd42664541057?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link,@eduard_osypenko,,05/05/2026,"May 5, 2026 12:48 PM",@omotiongg(Влад),3,Відео,"англійська , французька, голандська ",High,Reels(9:16),Виконано,Адаптація
аналог,Design%20Room/2627931763_MN.mp4,mn,TS-177,"ID: TS-177
Buyer: @kuchinelli
Task: https://www.notion.so/35723fd746b68013b4a3c4f64ed96e8a?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link",,https://www.notion.so/35723fd746b68013b4a3c4f64ed96e8a?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link,@kuchinelli,,07/05/2026,"May 5, 2026 2:04 PM",@omotiongg(Влад),5,Відео,"монгольська ",Medium,Reels(9:16),Виконано,Адаптація
аналог,"Design%20Room/SYMA1.mp4, Design%20Room/SYMA2.mp4, Design%20Room/SYMA3.mp4, Design%20Room/SYMA4.mp4, Design%20Room/SYMA5.mp4, Design%20Room/photo_2026-03-24_19-44-25.jpg",SY(Сирія),TS-178,"ID: TS-178
Buyer: @kuchinelli
Task:",,,@kuchinelli,11/05/2026,11/05/2026,"May 6, 2026 12:47 PM",@Sanchouzini(Саша З.),5,Відео,арабська,Medium,Reels(9:16),Виконано,Адаптація
Новостнік,Design%20Room/sy1.mp4,SY(Сирія),TS-179,"ID: TS-179
Buyer: @ivanytskkyi
Task:",,,@ivanytskkyi,08/05/2026,12/05/2026,"May 6, 2026 3:03 PM",@dmitriy_designer_gamble(Діма),2,Відео,Арабська,Medium,Reels(9:16),Виконано,з нуля
Діпфейк,Design%20Room/sy2.mp4,SY(Сирія),TS-180,"ID: TS-180
Buyer: @ivanytskkyi
Task:",,,@ivanytskkyi,08/05/2026,08/05/2026,"May 6, 2026 3:16 PM",@dmitriy_designer_gamble(Діма),2,Відео,Арабська,Medium,Reels(9:16),Виконано,з нуля
Plinko,Design%20Room/2627931763_MN%201.mp4,mn,TS-181,"ID: TS-181
Buyer: @bratyshkoo
Task:",,,@bratyshkoo,08/05/2026,11/05/2026,"May 6, 2026 4:30 PM",@dmitriy_designer_gamble(Діма),4,Відео,Монгольска,Medium,Reels(9:16),Виконано,Адаптація
Chicken,Design%20Room/2711263912_SY_v2_sych122x.mp4,SY(Сирія),TS-182,"ID: TS-182
Buyer: @bratyshkoo
Task:",,,@bratyshkoo,08/05/2026,11/05/2026,"May 6, 2026 4:46 PM",@Vitarillio_diz(Віталік),4,Відео,Арабська,Medium,Reels(9:16),Виконано,Адаптація
Chicken,Design%20Room/2711263912_SY_v2_sych122x%201.mp4,SY(Сирія),TS-183,"ID: TS-183
Buyer: @bratyshkoo
Task:",,,@bratyshkoo,11/05/2026,12/05/2026,"May 6, 2026 5:32 PM",@Sanchouzini(Саша З.),4,Відео,Арабська,Medium,Reels(9:16),Виконано,Адаптація
PWA,,multi,TS-184,"ID: TS-184
Buyer: @bratyshkoo
Task: https://www.notion.so/PWA-35823fd746b680c8b5cbfd41af9cb41a?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link",,https://www.notion.so/PWA-35823fd746b680c8b5cbfd41af9cb41a?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link,@bratyshkoo,11/05/2026,12/05/2026,"May 6, 2026 5:34 PM",@dmitriy_designer_gamble(Діма),,PWA,Англійська,Medium,-,Виконано,з нуля
курка + ем,,TJ (Таджикістан),TS-185,"ID: TS-185
Buyer: @Yak08lev
Task: https://www.notion.so/35823fd746b6800faba2fb7132c725f8?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link",,https://www.notion.so/35823fd746b6800faba2fb7132c725f8?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link,@Yak08lev,11/05/2026,12/05/2026,"May 6, 2026 7:44 PM",@Sanchouzini(Саша З.),2,Відео,Таджицька,Medium,Reels(9:16),Виконано,з нуля
тавер раш тж,,TJ (Таджикістан),TS-186,"ID: TS-186
Buyer: @Yak08lev
Task: https://www.notion.so/35823fd746b680b29748cec709e5875f?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link",,https://www.notion.so/35823fd746b680b29748cec709e5875f?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link,@Yak08lev,08/05/2026,11/05/2026,"May 6, 2026 8:30 PM",@omotiongg(Влад),1,Відео,Таджицька,Medium,Reels(9:16),Виконано,з нуля
Анімація,Design%20Room/SY.mp4,SY(Сирія),TS-190,"ID: TS-190
Buyer: @ivanytskkyi
Task: https://www.notion.so/35923fd746b68059a7e5d9dd003da8b4?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link",,https://www.notion.so/35923fd746b68059a7e5d9dd003da8b4?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link,@ivanytskkyi,08/05/2026,11/05/2026,"May 7, 2026 12:44 PM",@Vitarillio_diz(Віталік),3,Відео,Арабська,Medium,Reels(9:16),Виконано,з нуля
PWA,,multi,TS-191,"ID: TS-191
Buyer: @bratyshkoo
Task: https://www.notion.so/PWA-35923fd746b680d3968dd2742ed05a7b?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link",,https://www.notion.so/PWA-35923fd746b680d3968dd2742ed05a7b?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link,@bratyshkoo,11/05/2026,12/05/2026,"May 7, 2026 1:52 PM",@dmitriy_designer_gamble(Діма),,PWA,Англійська,Medium,-,Виконано,з нуля
"Chicken ",Design%20Room/2711263912_SY_v2_sych122x%202.mp4,IQ (Ірак),TS-192,"ID: TS-192
Buyer: @bratyshkoo
Task: https://www.notion.so/Chicken-35923fd746b680e1a700d76a0e8639c7?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link",,https://www.notion.so/Chicken-35923fd746b680e1a700d76a0e8639c7?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link,@bratyshkoo,11/05/2026,12/05/2026,"May 7, 2026 2:53 PM",@omotiongg(Влад),4,Відео,Arabic,Medium,Reels(9:16),Виконано,Адаптація
Chicken,Design%20Room/2711263912_SY_v2_sych122x%203.mp4,IQ (Ірак),TS-193,"ID: TS-193
Buyer: @bratyshkoo
Task: https://www.notion.so/Chicken-35923fd746b68097af59e301bab956a6?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link",,https://www.notion.so/Chicken-35923fd746b68097af59e301bab956a6?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link,@bratyshkoo,11/05/2026,13/05/2026,"May 7, 2026 3:38 PM",@omotiongg(Влад),4,Відео,Arabic,Medium,Reels(9:16),Виконано,Адаптація
"Chicken ",Design%20Room/2696256790_LB_v1_lbch45.mp4,IQ (Ірак),TS-194,"ID: TS-194
Buyer: @bratyshkoo
Task: https://www.notion.so/Chicken-35923fd746b68015aec1d9a4c940811d?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link",,https://www.notion.so/Chicken-35923fd746b68015aec1d9a4c940811d?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link,@bratyshkoo,13/05/2026,14/05/2026,"May 7, 2026 4:29 PM",@omotiongg(Влад),4,Відео,Arabic,Medium,Reels(9:16),Виконано,Адаптація
курка 1:1,Design%20Room/TS-162_MRmr79ch.mp4,UY (Уругвай),TS-195,"ID: TS-195
Buyer: @Yak08lev
Task: https://www.notion.so/1-1-35923fd746b6806fbe87e3f8a7b83799?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link",,https://www.notion.so/1-1-35923fd746b6806fbe87e3f8a7b83799?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link,@Yak08lev,12/05/2026,12/05/2026,"May 7, 2026 4:39 PM",@FoxcreativeS(Денис),1,Відео,"іспанська ",Medium,Квадрат(1:1),Виконано,Адаптація
"Plinko ",Design%20Room/iq1.mp4,IQ (Ірак),TS-196,"ID: TS-196
Buyer: @bratyshkoo
Task: https://www.notion.so/Plinko-35923fd746b6806a9a1fc421d0201238?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link",,https://www.notion.so/Plinko-35923fd746b6806a9a1fc421d0201238?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link,@bratyshkoo,12/05/2026,14/05/2026,"May 7, 2026 4:41 PM",@dmitriy_designer_gamble(Діма),4,Відео,Arabic,Medium,Reels(9:16),Виконано,Адаптація
курка 9:16,,UY (Уругвай),TS-197,"ID: TS-197
Buyer: @Yak08lev
Task: https://www.notion.so/9-16-35923fd746b6801c84b7d9a97764c45b?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link",,https://www.notion.so/9-16-35923fd746b6801c84b7d9a97764c45b?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link,@Yak08lev,13/05/2026,13/05/2026,"May 7, 2026 5:02 PM",@Sanchouzini(Саша З.),1,Відео,іспанська,Medium,Reels(9:16),Виконано,з нуля
адаптация,Design%20Room/SYPO3.mp4,so,TS-198,"ID: TS-198
Buyer: @kuchinelli
Task: https://www.notion.so/35a23fd746b680a2a634e24074455a41?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link",,https://www.notion.so/35a23fd746b680a2a634e24074455a41?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link,@kuchinelli,13/05/2026,14/05/2026,"May 8, 2026 1:10 PM",@Sanchouzini(Саша З.),5,Відео,сомалийский,Medium,Reels(9:16),Виконано,Адаптація
адапты польша,"Design%20Room/photo_1_2026-05-08_22-46-56.jpg, Design%20Room/photo_2_2026-05-08_22-46-56.jpg, Design%20Room/photo_3_2026-05-08_22-46-56.jpg, Design%20Room/photo_4_2026-05-08_22-46-56.jpg",польша,TS-199,"ID: TS-199
Buyer: @westtww
Task: https://www.notion.so/35a23fd746b680d1a152e9b46ae941fc?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link",,https://www.notion.so/35a23fd746b680d1a152e9b46ae941fc?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link,@westtww,13/05/2026,13/05/2026,"May 8, 2026 5:25 PM",@Vitarillio_diz(Віталік),21,Статика,польска,Medium,Портрет(3:4),Виконано,Адаптація
Slotlair UK,"https://www.youtube.com/shorts/jokAglmbtTg, https://www.tiktok.com/@envylifestyle/video/7636736934487837974?q=london%20red%20arsenal&t=1778250057842, https://www.tiktok.com/@arsenalfan673/video/7633918030816300310?q=london%20red%20arsenal&t=1778250057842",UK (Великобританія),TS-200,"ID: TS-200
Buyer: @SBabchuk
Task: https://www.notion.so/Slotlair-UK-35a23fd746b68029b454f7fc8a53a849?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link",,https://www.notion.so/Slotlair-UK-35a23fd746b68029b454f7fc8a53a849?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link,@SBabchuk,13/05/2026,14/05/2026,"May 8, 2026 5:33 PM",@omotiongg(Влад),3,Відео,Англійська,Medium,-,Виконано,Адаптація
адапты юк,"Design%20Room/photo_1_2026-05-08_22-44-05.jpg, Design%20Room/photo_2_2026-05-08_22-44-05.jpg, Design%20Room/photo_3_2026-05-08_22-44-05.jpg, Design%20Room/photo_4_2026-05-08_22-44-05.jpg",UK (Великобританія),TS-201,"ID: TS-201
Buyer: @westtww
Task: https://www.notion.so/35a23fd746b6803e9f06d5b23814f1d4?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link",,https://www.notion.so/35a23fd746b6803e9f06d5b23814f1d4?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link,@westtww,14/05/2026,14/05/2026,"May 8, 2026 10:41 PM",@Vitarillio_diz(Віталік),18,Статика,англ,Medium,Портрет(3:4),Виконано,Адаптація
курка гра,,LB (Ліван),TS-202,"ID: TS-202
Buyer: @Yak08lev
Task: https://www.notion.so/35b23fd746b680f085a2d9f343714d78?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link",,https://www.notion.so/35b23fd746b680f085a2d9f343714d78?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link,@Yak08lev,14/05/2026,14/05/2026,"May 9, 2026 5:17 PM",@dmitriy_designer_gamble(Діма),1,Відео,арабська,Medium,Reels(9:16),Виконано,з нуля
курка телепорт,Design%20Room/TS_142_SYsy165ch.mp4,LB (Ліван),TS-203,"ID: TS-203
Buyer: @Yak08lev
Task: https://www.notion.so/35b23fd746b6804fbd61d239b38501f9?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link",,https://www.notion.so/35b23fd746b6804fbd61d239b38501f9?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link,@Yak08lev,14/05/2026,15/05/2026,"May 9, 2026 6:38 PM",@dmitriy_designer_gamble(Діма),1,Відео,арабська,Medium,Reels(9:16),Виконано,Адаптація
курка ем,,LB (Ліван),TS-204,"ID: TS-204
Buyer: @Yak08lev
Task: https://www.notion.so/35b23fd746b680fe9ecbcd1ff5f42566?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link",,https://www.notion.so/35b23fd746b680fe9ecbcd1ff5f42566?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link,@Yak08lev,14/05/2026,15/05/2026,"May 9, 2026 6:38 PM",@dmitriy_designer_gamble(Діма),1,Відео,арабська,Medium,Reels(9:16),Виконано,з нуля
антиреджект,Design%20Room/TS_141_PY1py36ch.mp4,PY (Парагвай),TS-205,"ID: TS-205
Buyer: @Yak08lev
Task: https://www.notion.so/35d23fd746b680fba6f5e7d1403347a5?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link",,https://www.notion.so/35d23fd746b680fba6f5e7d1403347a5?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link,@Yak08lev,14/05/2026,14/05/2026,"May 11, 2026 9:30 AM",@Vitarillio_diz(Віталік),2,-,Іспанська,Medium,-,Виконано,-
Діпфейк,Design%20Room/JO1.mp4,JO (Йорданія),TS-206,"ID: TS-206
Buyer: @ivanytskkyi
Task: https://www.notion.so/35d23fd746b680b69abfc7a74d7cd438?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link",,https://www.notion.so/35d23fd746b680b69abfc7a74d7cd438?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link,@ivanytskkyi,14/05/2026,15/05/2026,"May 11, 2026 3:03 PM",@Sanchouzini(Саша З.),2,Відео,Арабська,Medium,,Виконано,з нуля
"Новостнік
",Design%20Room/JO2.mp4,JO (Йорданія),TS-207,"ID: TS-207
Buyer: @ivanytskkyi
Task: https://www.notion.so/35d23fd746b680e88c27ea348610e4bf?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link",,https://www.notion.so/35d23fd746b680e88c27ea348610e4bf?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link,@ivanytskkyi,14/05/2026,14/05/2026,"May 11, 2026 3:21 PM",@Sanchouzini(Саша З.),2,Відео,Арабська,Medium,,Виконано,з нуля
Общие крео иксы+мелл,Design%20Room/photo_2026-05-11_16-30-47.jpg,Мультигео,TS-208,"ID: TS-208
Buyer: @yezhzhee
Task:","Сделать креативы с названием 1XBET + MELBET (использовать их черно-желтый цвет)
По 19 на каждый домен",,@yezhzhee,11/05/2026,12/05/2026,"May 11, 2026 4:24 PM",@FoxcreativeS(Денис),38,Статика,,Critical,Портрет(3:4),Виконано,Адаптація
телепорт курка1,Design%20Room/TS_141_PY1py36ch%201.mp4,PY (Парагвай),TS-209,"ID: TS-209
Buyer: @Yak08lev
Task: https://www.notion.so/1-35d23fd746b68009b720f842f2b19f67?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link",,https://www.notion.so/1-35d23fd746b68009b720f842f2b19f67?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link,@Yak08lev,15/05/2026,15/05/2026,"May 11, 2026 4:49 PM",@Vitarillio_diz(Віталік),1,Відео,Іспанська,Medium,Reels(9:16),Виконано,Адаптація
чікен,,SY(Сирія),TS-211,"ID: TS-211
Buyer: @Yak08lev
Task: https://www.notion.so/35d23fd746b68000929be9a930115a71?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link",,https://www.notion.so/35d23fd746b68000929be9a930115a71?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link,@Yak08lev,15/05/2026,15/05/2026,"May 11, 2026 5:19 PM",@Vitarillio_diz(Віталік),2,Відео,арабська,Medium,Reels(9:16),Виконано,з нуля
плінко,Design%20Room/0511.mov,JO (Йорданія),TS-212,"ID: TS-212
Buyer: @Yak08lev
Task: https://www.notion.so/35d23fd746b6801ba65aced7a07dfb3e?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link",,https://www.notion.so/35d23fd746b6801ba65aced7a07dfb3e?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link,@Yak08lev,18/05/2026,18/05/2026,"May 11, 2026 7:17 PM",@dmitriy_designer_gamble(Діма),1,Відео,арабська,Medium,Reels(9:16),Виконано,Адаптація
"chicken ",,SY(Сирія),TS-213,"ID: TS-213
Buyer: @kuchinelli
Task: https://www.notion.so/chicken-35d23fd746b6808084b6fd321a24b77a?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link",,https://www.notion.so/chicken-35d23fd746b6808084b6fd321a24b77a?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link,@kuchinelli,15/05/2026,15/05/2026,"May 11, 2026 8:29 PM",@omotiongg(Влад),2,Відео,арабська,Medium,Reels(9:16),Виконано,з нуля
chicken,Design%20Room/TS-178_SY_v5.mp4,SY(Сирія),TS-214,"ID: TS-214
Buyer: @kuchinelli
Task: https://www.notion.so/chicken-35d23fd746b6808ab582e6ed0770c91f?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link",,https://www.notion.so/chicken-35d23fd746b6808ab582e6ed0770c91f?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link,@kuchinelli,15/05/2026,15/05/2026,"May 11, 2026 8:33 PM",@omotiongg(Влад),2,Відео,арабська,Medium,Reels(9:16),Виконано,Адаптація
"Адаптація 1 ",Design%20Room/2556678307_YEye27ch.mp4,OM(Оман),TS-215,"ID: TS-215
Buyer: @ivanytskkyi
Task: https://www.notion.so/1-35e23fd746b680c6bc61ed31c2c46fe4?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link",,https://www.notion.so/1-35e23fd746b680c6bc61ed31c2c46fe4?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link,@ivanytskkyi,13/05/2026,13/05/2026,"May 12, 2026 12:58 PM",@dmitriy_designer_gamble(Діма),2,Відео,Арабська,Critical,,Виконано,Адаптація
курка1 ем IQ,Design%20Room/2813824992_IQiq91ch%204.mp4,IQ (Ірак),TS-216,"ID: TS-216
Buyer: @Yak08lev
Task: https://www.notion.so/1-IQ-35e23fd746b68003b095c8a3541e7c7d?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link",,https://www.notion.so/1-IQ-35e23fd746b68003b095c8a3541e7c7d?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link,@Yak08lev,18/05/2026,18/05/2026,"May 12, 2026 1:32 PM",@Sanchouzini(Саша З.),2,Відео,арабська,Medium,Reels(9:16),Виконано,Адаптація
курка1 ем SN,Design%20Room/2813824992_IQiq91ch%205.mp4,SN (Сенегал),TS-217,"ID: TS-217
Buyer: @Yak08lev
Task: https://www.notion.so/1-SN-35e23fd746b6809bbc6eefbcc1a2b72b?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link",,https://www.notion.so/1-SN-35e23fd746b6809bbc6eefbcc1a2b72b?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link,@Yak08lev,18/05/2026,18/05/2026,"May 12, 2026 1:43 PM",@Sanchouzini(Саша З.),2,Відео,французька,Medium,Reels(9:16),Виконано,Адаптація
новина,Design%20Room/TS_99_SY_v2sy153ch.mp4,SY(Сирія),TS-218,"ID: TS-218
Buyer: @Yak08lev
Task: https://www.notion.so/35e23fd746b680ba8d45d5e480ef1569?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link",,https://www.notion.so/35e23fd746b680ba8d45d5e480ef1569?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link,@Yak08lev,18/05/2026,19/05/2026,"May 12, 2026 2:10 PM",@Sanchouzini(Саша З.),1,Відео,Арабська,Medium,Ютуб(16:9),Виконано,з нуля
